Ticker,Nome delle partecipazioni,% del valore di mercato,Valore di mercato,Face amount,Cedola/Rendimento,Data di scadenza
CARLB,Carlsberg Breweries AS,"0,0383%","1.037.598,69 €",1.025.000,"4,00%",05 ott 2028
DOV,Dover Corp.,"0,0383%","1.037.098,43 €",1.100.000,"1,25%",09 nov 2026
TDFINF,TDF Infrastructure SASU,"0,0382%","1.036.828,84 €",1.000.000,"5,63%",21 lug 2028
CKHGTH,CK Hutchison Group Telecom Finance SA,"0,0382%","1.036.557,65 €",1.100.000,"0,75%",17 apr 2026
SOCGEN,Societe Generale SA,"0,0382%","1.036.471,43 €",1.100.000,"0,13%",24 feb 2026
CDTFIN,Cadent Finance plc,"0,0382%","1.036.014,58 €",1.250.000,"0,63%",19 mar 2030
SANTAN,Banco Santander SA,"0,0382%","1.034.599,25 €",1.100.000,"0,50%",24 mar 2027
AMT,American Tower Corp.,"0,0381%","1.034.292,88 €",1.200.000,"0,88%",21 mag 2029
NDAFH,Nordea Bank Abp,"0,0381%","1.032.290,83 €",1.110.000,"0,63%",18 ago 2031
SRENVX,ELM BV for Swiss Reinsurance Co. Ltd.,"0,038%","1.031.035,56 €",1.060.000,"2,60%",31 dic 2079
BBVASM,Banco Bilbao Vizcaya Argentaria SA,"0,038%","1.030.859,63 €",1.000.000,"4,63%",13 gen 2031
,Metropolitan Life Global Funding I,"0,038%","1.030.539,35 €",1.043.000,"3,63%",26 mar 2034
MDT,Medtronic Global Holdings SCA,"0,0379%","1.028.667,96 €",1.100.000,"1,13%",07 mar 2027
NWG,NatWest Group plc,"0,0379%","1.027.524,53 €",1.000.000,"4,77%",16 feb 2029
STLA,Stellantis NV,"0,0379%","1.026.867,42 €",1.000.000,"4,38%",14 mar 2030
ENFP,Bouygues SA,"0,0379%","1.026.721,57 €",900.000,"5,38%",30 giu 2042
SUEZFP,Suez SACA,"0,0378%","1.026.192,45 €",1.000.000,"4,63%",03 nov 2028
HEIGR,Heidelberg Materials Finance Luxembourg SA,"0,0378%","1.025.760,36 €",1.100.000,"1,75%",24 apr 2028
NNGRNV,NN Group NV,"0,0378%","1.025.257,24 €",950.000,"6,00%",03 nov 2043
ARVASL,Arval Service Lease SA/France,"0,0378%","1.023.702,51 €",1.000.000,"4,75%",22 mag 2027
HTHROW,Heathrow Funding Ltd.,"0,0377%","1.023.328,37 €",1.000.000,"4,50%",11 lug 2033
SSELN,SSE plc,"0,0377%","1.023.001,75 €",1.050.000,"4,00%",31 dic 2079
SAPGR,SAP SE,"0,0377%","1.022.970,62 €",1.100.000,"1,25%",10 mar 2028
REPSM,Repsol Europe Finance Sarl,"0,0377%","1.021.772,39 €",1.200.000,"0,38%",06 lug 2029
,Commerzbank AG,"0,0377%","1.021.022,86 €",1.000.000,"4,63%",17 gen 2031
ANZ,Australia & New Zealand Banking Group Ltd.,"0,0377%","1.021.012,03 €",1.100.000,"0,67%",05 mag 2031
,ASB Bank Ltd.,"0,0376%","1.019.836,26 €",1.000.000,"4,50%",16 mar 2027
,Arkema SA,"0,0376%","1.019.599,82 €",1.000.000,"4,25%",20 mag 2030
GE,GE 4 1/8 09/19/35,"0,0375%","1.018.064,22 €",1.000.000,"4,13%",19 set 2035
MTNA,ArcelorMittal SA,"0,0375%","1.017.963,93 €",1.000.000,"4,88%",26 set 2026
F,Ford Motor Credit Co. LLC,"0,0375%","1.017.879,89 €",1.000.000,"4,87%",03 ago 2027
HOLNSW,Holcim Finance Luxembourg SA,"0,0375%","1.017.479,54 €",1.100.000,"0,50%",29 nov 2026
EOANGR,E.ON SE,"0,0375%","1.017.477,42 €",1.000.000,"4,00%",29 ago 2033
,Banco de Sabadell SA,"0,0375%","1.017.351,59 €",1.000.000,"5,38%",08 set 2026
RCFFP,Teleperformance SE,"0,0375%","1.017.113,81 €",1.000.000,"5,25%",22 nov 2028
BFCM,Banque Federative du Credit Mutuel SA,"0,0375%","1.016.594,89 €",1.000.000,"4,00%",21 nov 2029
ARRFP,APRR SA,"0,0375%","1.015.743,30 €",1.200.000,"1,50%",17 gen 2033
BKIR,Bank of Ireland Group plc,"0,0375%","1.015.686,00 €",965.000,"5,00%",04 lug 2031
DGFP,Vinci SA,"0,0374%","1.014.604,62 €",1.100.000,"1,63%",18 gen 2029
PHIANA,Koninklijke Philips NV,"0,0374%","1.014.412,08 €",1.100.000,"2,13%",05 nov 2029
VW,Volkswagen International Finance NV,"0,0374%","1.014.020,22 €",1.000.000,"4,25%",29 mar 2029
NESNVX,Nestle Finance International Ltd.,"0,0374%","1.013.382,08 €",1.250.000,"1,75%",02 nov 2037
TSCOLN,Tesco Corporate Treasury Services plc,"0,0374%","1.012.728,91 €",1.000.000,"4,25%",27 feb 2031
DB,Deutsche Bank AG,"0,0373%","1.012.075,09 €",1.000.000,"4,00%",29 nov 2027
DLR,Digital Intrepid Holding BV,"0,0373%","1.011.954,80 €",1.300.000,"0,63%",15 lug 2031
RBIAV,Raiffeisen Bank International AG,"0,0373%","1.011.896,09 €",1.100.000,"0,38%",25 set 2026
TD,Toronto-Dominion Bank,"0,0373%","1.011.823,35 €",1.100.000,"0,50%",18 gen 2027
BAYNGR,Bayer AG,"0,0373%","1.011.670,02 €",1.100.000,"0,75%",06 gen 2027
RBOSGR,Robert Bosch GmbH,"0,0373%","1.011.365,80 €",1.000.000,"4,00%",02 giu 2035
,British American Tobacco plc,"0,0373%","1.010.786,84 €",1.100.000,"3,75%",27 set 2072
LIFP,Klepierre SA,"0,0373%","1.010.513,05 €",1.100.000,"2,00%",12 mag 2029
ANNGR,Vonovia SE,"0,0373%","1.010.356,57 €",1.100.000,"1,88%",28 giu 2028
BASGR,BASF SE,"0,0373%","1.010.204,35 €",1.100.000,"0,88%",15 nov 2027
TOYOTA,Toyota Motor Finance Netherlands BV,"0,0373%","1.010.177,01 €",1.000.000,"4,00%",02 apr 2027
DNBNO,DNB Bank ASA,"0,0372%","1.009.857,98 €",1.000.000,"4,00%",14 mar 2029
,Lseg Netherlands BV,"0,0372%","1.009.066,87 €",1.000.000,"4,13%",29 set 2026
KBCBB,KBC Group NV,"0,0372%","1.009.060,01 €",1.100.000,"0,63%",07 dic 2031
CMARK,Credit Mutuel Arkea SA,"0,0372%","1.008.029,17 €",1.000.000,"3,88%",22 mag 2028
SUEZFP,Suez SACA,"0,0371%","1.006.940,98 €",1.100.000,"2,38%",24 mag 2030
BRITEL,British Telecommunications plc,"0,0371%","1.005.927,53 €",1.050.000,"0,50%",12 set 2025
EDPPL,EDP Finance BV,"0,0371%","1.005.676,23 €",1.000.000,"3,88%",11 mar 2030
,Banco Bilbao Vizcaya Argentaria SA,"0,0371%","1.004.640,09 €",1.000.000,"3,88%",15 gen 2034
VGASDE,Vier Gas Transport GmbH,"0,037%","1.003.673,54 €",1.000.000,"4,00%",26 set 2027
MBGGR,Mercedes-Benz International Finance BV,"0,037%","1.002.725,20 €",1.046.000,"1,38%",26 giu 2026
VCXAU,Vicinity Centres Trust,"0,037%","1.002.161,80 €",1.168.000,"1,13%",07 nov 2029
TD,Toronto-Dominion Bank,"0,037%","1.002.091,37 €",1.050.000,"3,13%",03 ago 2032
,BPCE SA,"0,037%","1.001.954,26 €",1.000.000,"3,88%",25 gen 2036
SRBANK,SpareBank 1 SR-Bank ASA,"0,0369%","1.001.692,36 €",1.000.000,"3,75%",23 nov 2027
EJRAIL,East Japan Railway Co.,"0,0369%","1.001.594,69 €",1.000.000,"4,11%",22 feb 2043
BPCEGP,BPCE SA,"0,0369%","1.000.833,90 €",1.100.000,"0,01%",14 gen 2027
GM,General Motors Financial Co. Inc.,"0,0369%","1.000.719,23 €",1.100.000,"0,60%",20 mag 2027
NTT,NTT Finance Corp.,"0,0369%","1.000.591,52 €",1.200.000,"0,34%",03 mar 2030
TRAGR,Traton Finance Luxembourg SA,"0,0369%","1.000.450,97 €",1.000.000,"4,13%",22 nov 2025
ABESM,Abertis Infraestructuras SA,"0,0369%","1.000.334,06 €",1.100.000,"1,25%",07 feb 2028
HON,Honeywell International Inc.,"0,0369%","1.000.314,09 €",1.000.000,"3,75%",17 mag 2032
,Traton Finance Luxembourg SA,"0,0369%","999.377,85 €",1.000.000,"4,00%",16 set 2025
,Santander Consumer Finance SA,"0,0368%","998.889,10 €",1.000.000,"3,75%",17 gen 2029
,Banque Federative du Credit Mutuel SA,"0,0368%","998.220,42 €",1.000.000,"3,75%",03 feb 2034
,Heineken NV,"0,0368%","998.030,25 €",1.000.000,"3,63%",15 nov 2026
UNANA,Unilever Finance Netherlands BV,"0,0368%","997.666,43 €",1.100.000,"1,38%",31 lug 2029
ACAFP,Credit Agricole Assurances SA,"0,0368%","997.639,15 €",1.000.000,"4,50%",31 dic 2079
VTRS,Upjohn Finance BV,"0,0368%","997.482,77 €",1.200.000,"1,91%",23 giu 2032
BNP,BNP Paribas SA,"0,0368%","997.144,71 €",1.100.000,"0,50%",30 mag 2028
EQIX,Equinix Inc.,"0,0368%","996.687,85 €",1.100.000,"0,25%",15 mar 2027
RKTLN,Reckitt Benckiser Treasury Services plc,"0,0368%","996.397,49 €",1.000.000,"3,88%",14 set 2033
CARLB,Carlsberg Breweries AS,"0,0368%","996.397,25 €",1.100.000,"0,38%",30 giu 2027
HOFP,Thales SA,"0,0368%","996.386,40 €",1.100.000,"1,00%",15 mag 2028
ANNGR,Vonovia SE,"0,0367%","996.101,46 €",1.500.000,"1,63%",07 ott 2039
HANRUE,Hannover Rueck SE,"0,0367%","995.690,30 €",900.000,"5,88%",26 ago 2043
,Solvay SA,"0,0367%","995.668,82 €",1.000.000,"4,25%",03 ott 2031
NESNVX,Nestle Finance International Ltd.,"0,0367%","995.338,75 €",1.000.000,"3,38%",15 nov 2034
SLHNVX,Argentum Netherlands BV for Swiss Life AG,"0,0367%","995.240,82 €",1.000.000,"4,38%",31 dic 2079
MLFP,Cie Generale des Etablissements Michelin SCA,"0,0367%","994.607,17 €",1.100.000,"1,75%",03 set 2030
,JAB Holdings BV,"0,0367%","994.294,58 €",1.000.000,"4,38%",25 apr 2034
AMT,American Tower Corp.,"0,0367%","994.262,02 €",1.200.000,"0,95%",05 ott 2030
SUFP,Schneider Electric SE,"0,0367%","993.891,19 €",1.000.000,"3,25%",09 nov 2027
BNP,BNP Paribas SA,"0,0366%","992.519,57 €",1.100.000,"1,13%",17 apr 2029
ARNDTN,Aroundtown SA,"0,0366%","992.334,70 €",1.100.000,,16 lug 2026
BKTSM,Bankinter SA,"0,0366%","992.141,16 €",1.100.000,"0,63%",06 ott 2027
RABOBK,Cooperatieve Rabobank UA,"0,0366%","992.026,46 €",1.000.000,"3,88%",30 nov 2032
,UniCredit SPA,"0,0366%","991.729,71 €",1.000.000,"4,00%",05 mar 2034
TMO,Thermo Fisher Scientific Inc.,"0,0366%","991.586,32 €",1.000.000,"3,65%",21 nov 2034
BATSLN,BAT International Finance plc,"0,0366%","991.480,59 €",1.100.000,"2,25%",16 gen 2030
BBVASM,Banco Bilbao Vizcaya Argentaria SA,"0,0365%","990.754,88 €",1.000.000,"3,50%",10 feb 2027
,Banque Stellantis France SACA,"0,0365%","990.714,69 €",1.000.000,"3,50%",19 lug 2027
RENAUL,RCI Banque SA,"0,0365%","990.215,58 €",960.000,"4,88%",21 set 2028
ANNGR,Vonovia SE,"0,0365%","989.720,24 €",1.200.000,"0,63%",14 dic 2029
DNBNO,DNB Bank ASA,"0,0365%","989.707,27 €",958.000,"4,63%",01 nov 2029
,Motability Operations Group plc,"0,0365%","989.666,30 €",993.000,"3,88%",24 gen 2034
ULFP,Unibail-Rodamco-Westfield SE,"0,0365%","988.584,07 €",1.200.000,"1,38%",04 dic 2031
SYK,Stryker Corp.,"0,0364%","987.867,40 €",1.200.000,"1,00%",03 dic 2031
HANRUE,Hannover Rueck SE,"0,0364%","987.660,42 €",1.000.000,"3,38%",31 dic 2079
NWG,NatWest Group plc,"0,0364%","987.240,47 €",1.100.000,"1,04%",14 set 2032
ADNA,Koninklijke Ahold Delhaize NV,"0,0364%","985.672,04 €",1.035.000,"1,75%",02 apr 2027
ACAFP,Credit Agricole SA,"0,0363%","985.085,17 €",1.100.000,"1,13%",24 feb 2029
DNBNO,DNB Bank ASA,"0,0363%","984.862,77 €",960.000,"5,00%",13 set 2033
CMZB,Commerzbank AG,"0,0363%","984.823,91 €",1.060.000,"0,50%",04 dic 2026
,Cie de Saint-Gobain SA,"0,0363%","984.218,07 €",1.000.000,"3,38%",08 apr 2030
FREGR,Fresenius Finance Ireland plc,"0,0363%","984.071,77 €",1.025.000,"2,13%",01 feb 2027
UCGIM,UniCredit SPA,"0,0363%","983.798,54 €",1.060.000,"0,93%",18 gen 2028
WMT,Walmart Inc.,"0,0363%","983.194,28 €",1.000.000,"2,55%",08 apr 2026
SANTAN,Banco Santander SA,"0,0363%","982.858,44 €",1.000.000,"3,13%",19 gen 2027
KYGID,Kerry Group Financial Services Unltd Co.,"0,0362%","982.671,53 €",1.000.000,"2,38%",10 set 2025
C,Citigroup Inc.,"0,0362%","981.690,33 €",1.100.000,"1,25%",10 apr 2029
ENIIM,Eni SPA,"0,0362%","980.416,89 €",1.100.000,"2,00%",18 mag 2031
TOYOTA,Toyota Motor Credit Corp.,"0,0362%","980.270,07 €",1.100.000,"0,13%",05 nov 2027
SGOFP,Cie de Saint-Gobain SA,"0,0362%","980.253,00 €",1.100.000,"1,88%",15 mar 2031
SANFP,Sanofi SA,"0,0362%","980.216,39 €",1.100.000,"0,88%",21 mar 2029
,Terna - Rete Elettrica Nazionale,"0,0361%","979.556,65 €",1.000.000,"3,50%",17 gen 2031
,Pluxee NV,"0,0361%","978.820,44 €",1.000.000,"3,75%",04 set 2032
,International Consolidated Airlines Group SA,"0,0361%","978.783,53 €",1.000.000,"3,75%",25 mar 2029
EOANGR,E.ON SE,"0,0361%","978.246,72 €",1.000.000,"2,88%",26 ago 2028
ARRFP,APRR SA,"0,0361%","977.536,50 €",1.000.000,"3,13%",24 gen 2030
MRKGR,Merck Financial Services GmbH,"0,036%","976.535,93 €",1.100.000,"0,50%",16 lug 2028
UBS,UBS Group AG,"0,036%","975.913,62 €",1.000.000,"2,75%",15 giu 2027
ASSGEN,Assicurazioni Generali SPA,"0,036%","975.861,52 €",900.000,"5,80%",06 lug 2032
LLOYDS,Lloyds Bank Corporate Markets plc,"0,036%","975.438,23 €",1.000.000,"2,38%",09 apr 2026
BAYNGR,Bayer AG,"0,036%","975.395,33 €",1.400.000,"1,00%",12 gen 2036
VZ,Verizon Communications Inc.,"0,036%","975.266,89 €",1.300.000,"1,13%",19 set 2035
VIEFP,Veolia Environnement SA,"0,036%","975.251,93 €",1.000.000,"1,75%",10 set 2025
MQGAU,Macquarie Group Ltd.,"0,036%","975.208,10 €",1.100.000,"0,35%",03 mar 2028
SGOFP,Cie de Saint-Gobain SA,"0,0359%","974.601,33 €",1.000.000,"1,63%",10 ago 2025
HITTFP,Holding d'Infrastructures de Transport SASU,"0,0359%","974.190,71 €",1.100.000,"1,63%",18 set 2029
BKNG,Booking Holdings Inc.,"0,0359%","974.131,18 €",950.000,"4,25%",15 mag 2029
CNHI,CNH Industrial Finance Europe SA,"0,0359%","974.111,50 €",1.000.000,"1,75%",12 set 2025
ALVGR,Allianz SE,"0,0359%","973.424,73 €",1.100.000,"2,12%",08 lug 2050
,Timken Co.,"0,0358%","971.739,77 €",1.000.000,"4,13%",23 mag 2034
,Roche Finance Europe BV,"0,0358%","971.731,97 €",1.000.000,"3,56%",03 mag 2044
SEVFP,Veolia Environnement SA,"0,0358%","971.400,67 €",1.100.000,"1,63%",17 set 2030
ENIIM,Eni SPA,"0,0358%","971.219,86 €",1.000.000,"2,63%",31 dic 2079
DSVDC,DSV A/S,"0,0358%","970.761,52 €",1.060.000,"0,38%",26 feb 2027
TELIAS,Telia Co. AB,"0,0358%","970.624,72 €",1.200.000,"0,13%",27 nov 2030
ATOSTR,Autostrade per l'Italia SPA,"0,0358%","969.801,08 €",1.060.000,"2,00%",04 dic 2028
UBS,UBS Group AG,"0,0358%","969.602,41 €",1.200.000,"0,88%",03 nov 2031
MDT,Medtronic Global Holdings SCA,"0,0358%","969.502,05 €",1.100.000,"1,63%",07 mar 2031
HON,Honeywell International Inc.,"0,0357%","969.195,94 €",950.000,"4,13%",02 nov 2034
GS,Goldman Sachs Group Inc.,"0,0357%","968.612,78 €",980.000,"2,88%",03 giu 2026
VW,Volkswagen Bank GmbH,"0,0357%","968.612,50 €",1.000.000,"2,50%",31 lug 2026
ZBH,Zimmer Biomet Holdings Inc.,"0,0357%","967.884,39 €",1.000.000,"2,42%",13 dic 2026
MDT,Medtronic Global Holdings SCA,"0,0357%","967.629,83 €",1.000.000,"3,38%",15 ott 2034
PUBFP,MMS USA Holdings Inc.,"0,0357%","967.279,55 €",1.000.000,"0,63%",13 giu 2025
COLSM,Inmobiliaria Colonial Socimi SA,"0,0357%","967.178,91 €",1.000.000,"1,63%",28 nov 2025
RBOSGR,Robert Bosch Investment Nederland BV,"0,0356%","965.622,99 €",1.000.000,"2,63%",24 mag 2028
BMW,BMW Finance NV,"0,0356%","964.529,84 €",1.050.000,"1,50%",06 feb 2029
BRITEL,British Telecommunications plc,"0,0355%","963.479,01 €",1.000.000,"1,75%",10 mar 2026
MDT,Medtronic Global Holdings SCA,"0,0355%","963.464,70 €",1.000.000,"0,25%",02 lug 2025
MCD,McDonald's Corp.,"0,0355%","962.038,47 €",1.100.000,"1,60%",15 mar 2031
ATOSTR,Autostrade per l'Italia SPA,"0,0355%","961.508,44 €",1.050.000,"1,63%",25 gen 2028
BRK,Berkshire Hathaway Inc.,"0,0355%","961.474,02 €",1.025.000,"1,13%",16 mar 2027
LLOYDS,Lloyds Bank Corporate Markets plc,"0,0354%","960.156,27 €",950.000,"4,13%",30 mag 2027
TOYOTA,Toyota Motor Credit Corp.,"0,0354%","959.823,28 €",950.000,"3,85%",24 lug 2030
ASSGEN,Assicurazioni Generali SPA,"0,0354%","959.769,35 €",925.000,"5,50%",27 ott 2047
ASRNED,ASR Nederland NV,"0,0354%","959.365,31 €",850.000,"7,00%",07 dic 2043
ASML,ASML Holding NV,"0,0353%","958.166,42 €",1.000.000,"1,38%",07 lug 2026
UNANA,Unilever Finance Netherlands BV,"0,0353%","957.359,32 €",1.100.000,"1,25%",28 feb 2031
JABHOL,JAB Holdings BV,"0,0353%","957.231,18 €",1.000.000,"1,75%",25 giu 2026
,Securitas Treasury Ireland DAC,"0,0353%","957.182,41 €",950.000,"4,25%",04 apr 2027
MUNRE,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,"0,0353%","956.951,20 €",1.000.000,"3,25%",26 mag 2049
ACAFP,Credit Agricole SA/London,"0,0353%","956.658,86 €",1.000.000,"1,88%",20 dic 2026
IMBLN,Imperial Brands Finance plc,"0,0353%","956.341,53 €",1.000.000,"2,13%",12 feb 2027
VOD,Vodafone Group plc,"0,0353%","955.768,39 €",1.100.000,"1,60%",29 lug 2031
OMVAV,OMV AG,"0,0352%","955.236,30 €",1.000.000,"2,50%",01 set 2049
FFHCN,Fairfax Financial Holdings Ltd.,"0,0352%","954.905,28 €",1.000.000,"2,75%",29 mar 2028
,UniCredit SPA,"0,0352%","954.418,55 €",950.000,"4,30%",23 gen 2031
ALIVP,Aliaxis Finance SA,"0,0352%","954.363,05 €",1.100.000,"0,88%",08 nov 2028
ENELIM,Enel SPA,"0,0352%","954.321,19 €",900.000,"5,63%",21 giu 2027
ENFP,Bouygues SA,"0,0352%","953.053,72 €",900.000,"4,63%",07 giu 2032
IBM,International Business Machines Corp.,"0,0351%","952.955,19 €",959.000,"3,38%",06 feb 2027
STLA,Stellantis NV,"0,0351%","952.691,14 €",1.200.000,"1,25%",20 giu 2033
PPG,PPG Industries Inc.,"0,0351%","952.328,34 €",1.000.000,"2,75%",01 giu 2029
ENELIM,Enel SPA,"0,0351%","951.460,00 €",904.000,"6,38%",31 dic 2079
DGFP,Autoroutes du Sud de la France SA,"0,0351%","951.450,70 €",1.000.000,"1,00%",13 mag 2026
PLD,Prologis Euro Finance LLC,"0,0351%","951.264,91 €",975.000,"4,25%",31 gen 2043
TRAGR,Traton Finance Luxembourg SA,"0,0351%","950.961,89 €",1.100.000,"0,75%",24 mar 2029
IBESM,Iberdrola Finanzas SA,"0,0351%","950.835,82 €",1.000.000,"1,25%",28 ott 2026
KPN,Koninklijke KPN NV,"0,0351%","950.700,31 €",1.200.000,"0,88%",14 dic 2032
SYK,Stryker Corp.,"0,0351%","950.536,41 €",1.000.000,"2,13%",30 nov 2027
NWG,NatWest Group plc,"0,035%","950.287,39 €",1.100.000,"0,78%",26 feb 2030
SHBASS,Svenska Handelsbanken AB,"0,035%","950.030,23 €",925.000,"5,00%",16 ago 2034
EDENFP,Edenred SE,"0,035%","949.835,20 €",1.000.000,"1,88%",30 mar 2027
GIVNVX,Givaudan Finance Europe BV,"0,035%","949.741,85 €",1.100.000,"1,63%",22 apr 2032
BPCEGP,BPCE SA,"0,035%","949.701,02 €",1.000.000,"1,75%",26 apr 2027
ULFP,Unibail-Rodamco-Westfield SE,"0,035%","948.730,09 €",900.000,"7,25%",31 dic 2079
ENELIM,Enel Finance International NV,"0,035%","947.753,50 €",1.100.000,"0,63%",28 mag 2029
HEIBOS,Heimstaden Bostad Treasury BV,"0,0349%","947.493,55 €",1.100.000,"1,38%",03 mar 2027
,Banco de Sabadell SA,"0,0349%","946.488,33 €",900.000,"5,50%",08 set 2029
MCO,Moody's Corp.,"0,0349%","946.398,35 €",1.100.000,"0,95%",25 feb 2030
SGOFP,Cie de Saint-Gobain SA,"0,0349%","945.975,10 €",1.000.000,"2,13%",10 giu 2028
NESNVX,Nestle Finance International Ltd.,"0,0349%","945.932,24 €",1.150.000,"1,50%",29 mar 2035
VFC,VF Corp.,"0,0349%","944.902,69 €",960.000,"4,13%",07 mar 2026
DGFP,Autoroutes du Sud de la France SA,"0,0348%","944.502,36 €",1.000.000,"1,25%",18 gen 2027
NDAQ,Nasdaq Inc.,"0,0348%","943.117,74 €",1.100.000,"0,88%",13 feb 2030
T,AT&T Inc.,"0,0348%","942.762,12 €",1.000.000,"0,25%",04 mar 2026
CARDFP,Carmila SA,"0,0348%","942.574,35 €",900.000,"5,50%",09 ott 2028
KO,Coca-Cola Co.,"0,0347%","941.414,50 €",1.000.000,"1,13%",09 mar 2027
HLNLN,Haleon Netherlands Capital BV,"0,0347%","941.356,77 €",1.100.000,"2,13%",29 mar 2034
ISPIM,Intesa Sanpaolo SPA,"0,0347%","941.332,94 €",1.050.000,"0,75%",16 mar 2028
BBVASM,Banco Bilbao Vizcaya Argentaria SA,"0,0347%","940.376,36 €",900.000,"5,75%",15 set 2033
SOCGEN,Societe Generale SA,"0,0347%","939.936,52 €",1.000.000,"0,88%",01 lug 2026
BPPEHX,Blackstone Property Partners Europe Holdings Sarl,"0,0347%","939.827,29 €",1.000.000,"3,63%",29 ott 2029
CABKSM,CaixaBank SA,"0,0346%","939.397,39 €",1.000.000,"1,25%",18 giu 2031
WSTPNZ,Westpac Securities NZ Ltd./London,"0,0346%","937.959,35 €",1.020.000,"0,43%",14 dic 2026
CONGR,Continental AG,"0,0346%","937.887,86 €",960.000,"2,50%",27 ago 2026
AIA,AIA Group Ltd.,"0,0346%","937.711,25 €",1.088.000,"0,88%",09 set 2033
OMVAV,OMV AG,"0,0346%","937.051,94 €",1.100.000,"0,75%",16 giu 2030
ENELIM,Enel SPA,"0,0345%","936.586,92 €",1.000.000,"2,25%",10 mar 2049
BALDER,Balder Finland Oyj,"0,0345%","936.421,15 €",1.150.000,"1,00%",20 gen 2029
HSBC,HSBC Holdings plc,"0,0345%","935.685,87 €",985.000,"0,31%",13 nov 2026
UBS,UBS AG/London,"0,0345%","935.353,05 €",1.000.000,"0,01%",31 mar 2026
MET,Metropolitan Life Global Funding I,"0,0344%","933.833,40 €",925.000,"3,75%",05 dic 2030
ZURNVX,Argentum Netherlands BV for Zurich Insurance Co. Ltd.,"0,0344%","933.706,11 €",950.000,"3,50%",01 ott 2046
,BMW US Capital LLC,"0,0344%","933.565,49 €",950.000,"3,00%",02 nov 2027
,Omnicom Finance Holdings plc,"0,0344%","932.941,14 €",950.000,"3,70%",06 mar 2032
BAYNGR,Bayer AG,"0,0344%","932.138,19 €",1.100.000,"0,38%",12 gen 2029
ACAFP,Credit Agricole SA,"0,0344%","932.134,67 €",900.000,"4,38%",27 nov 2033
,Banco de Sabadell SA,"0,0344%","931.780,07 €",900.000,"5,25%",07 feb 2029
PLD,Prologis Euro Finance LLC,"0,0344%","931.732,78 €",1.060.000,"1,00%",08 feb 2029
O,Realty Income Corp.,"0,0344%","931.629,27 €",899.000,"4,88%",06 lug 2030
DHR,DH Europe Finance Sarl,"0,0344%","931.342,16 €",1.000.000,"1,20%",30 giu 2027
F,Ford Motor Credit Co. LLC,"0,0343%","930.709,15 €",900.000,"5,13%",20 feb 2029
HMSOLN,Hammerson Ireland Finance DAC,"0,0343%","930.249,32 €",1.010.000,"1,75%",03 giu 2027
DAIGR,Mercedes-Benz Group AG,"0,0343%","929.946,70 €",1.100.000,"1,13%",06 nov 2031
EPEN,EPH Financing International AS,"0,0343%","929.946,31 €",900.000,"6,65%",13 nov 2028
ASML,ASML Holding NV,"0,0343%","928.993,20 €",1.100.000,"0,25%",25 feb 2030
MS,Morgan Stanley,"0,0343%","928.976,81 €",900.000,"4,81%",25 ott 2028
BNP,BNP Paribas SA,"0,0343%","928.723,12 €",950.000,"2,88%",01 ott 2026
NIBCAP,NIBC Bank NV,"0,0342%","928.207,08 €",900.000,"6,38%",01 dic 2025
TALANX,Talanx AG,"0,0342%","928.054,56 €",1.000.000,"2,25%",05 dic 2047
,Banco Santander SA,"0,0342%","926.920,58 €",900.000,"4,25%",12 giu 2030
HEIBOS,Heimstaden Bostad Treasury BV,"0,0342%","926.796,66 €",1.000.000,"0,63%",24 lug 2025
IREIM,Iren SPA,"0,0342%","926.428,28 €",950.000,"1,95%",19 set 2025
TMO,Thermo Fisher Scientific Inc.,"0,0342%","926.210,03 €",1.000.000,"1,95%",24 lug 2029
RTOLN,Rentokil Initial Finance BV,"0,0342%","925.948,55 €",900.000,"4,38%",27 giu 2030
TELEFO,Telefonica Emisiones SA,"0,0341%","925.776,84 €",1.000.000,"1,20%",21 ago 2027
MRK,Merck & Co. Inc.,"0,0341%","925.731,87 €",960.000,"1,88%",15 ott 2026
CABKSM,CaixaBank SA,"0,0341%","925.641,92 €",1.000.000,"0,63%",21 gen 2028
TTEFP,TotalEnergies Capital International SA,"0,0341%","925.213,12 €",1.100.000,"0,95%",18 mag 2031
,Anheuser-Busch InBev SA/NV,"0,0341%","924.815,24 €",934.000,"3,45%",22 set 2031
CMARK,Credit Mutuel Arkea SA,"0,0341%","923.546,65 €",900.000,"4,13%",01 feb 2034
ALVGR,Allianz SE,"0,0341%","923.260,48 €",900.000,"4,85%",26 lug 2054
CMARK,Credit Mutuel Arkea SA,"0,034%","923.156,95 €",1.000.000,"0,88%",07 mag 2027
WFC,Wells Fargo & Co.,"0,034%","923.089,49 €",987.000,"1,50%",24 mag 2027
ARGSPA,Argenta Spaarbank NV,"0,034%","922.787,52 €",900.000,"5,38%",29 nov 2027
,E.ON SE,"0,034%","922.509,89 €",940.000,"4,13%",25 mar 2044
NWG,NatWest Markets plc,"0,034%","922.507,62 €",983.000,"1,38%",02 mar 2027
ANESM,Acciona Energia Financiacion Filiales SA,"0,034%","922.487,94 €",900.000,"5,13%",23 apr 2031
LXSGR,LANXESS AG,"0,034%","920.503,52 €",1.047.000,,08 set 2027
BACRED,Mediobanca Banca di Credito Finanziario SPA,"0,0339%","920.375,14 €",900.000,"4,75%",14 mar 2028
